Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,389,-666,-63.1%,174,-43.1%
May 2025,"1,055",+217,+25.9%,306,-9.2%
April 2025,838,"-1,068",-56.0%,337,-62.1%
March 2025,"1,906",+514,+36.9%,889,+84.4%
February 2025,"1,392","-1,233",-47.0%,482,-53.2%
January 2025,"2,625",-613,-18.9%,"1,030",-31.1%
December 2024,"3,238",+776,+31.5%,"1,496",+97.6%
November 2024,"2,462","-5,408",-68.7%,757,-73.1%
October 2024,"7,870",-,-,"2,816",-
