Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,284,-146,-34.0%,105,-27.1%
April 2025,430,-517,-54.6%,144,-48.4%
March 2025,947,"-2,946",-75.7%,279,-73.2%
February 2025,"3,893",-,-,"1,040",-
