Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,55,-5,-8.3%,23,+4.5%
April 2025,60,+5,+9.1%,22,+15.8%
March 2025,55,-1,-1.8%,19,-13.6%
February 2025,56,-2,-3.4%,22,+0.0%
January 2025,58,-20,-25.6%,22,+10.0%
December 2024,78,+29,+59.2%,20,+11.1%
November 2024,49,-31,-38.8%,18,-10.0%
October 2024,80,+18,+29.0%,20,+0.0%
September 2024,62,-9,-12.7%,20,-33.3%
August 2024,71,+17,+31.5%,30,+15.4%
July 2024,54,+1,+1.9%,26,+18.2%
June 2024,53,-7,-11.7%,22,+22.2%
May 2024,60,+20,+50.0%,18,+12.5%
April 2024,40,-10,-20.0%,16,-11.1%
March 2024,50,-9,-15.3%,18,-10.0%
February 2024,59,-12,-16.9%,20,-33.3%
January 2024,71,-150,-67.9%,30,-48.3%
December 2023,221,-151,-40.6%,58,-57.0%
November 2023,372,+100,+36.8%,135,+187.2%
October 2023,272,+198,+267.6%,47,+80.8%
September 2023,74,-18,-19.6%,26,-31.6%
August 2023,92,-15,-14.0%,38,-25.5%
July 2023,107,-40,-27.2%,51,-25.0%
June 2023,147,+24,+19.5%,68,+126.7%
May 2023,123,+70,+132.1%,30,+57.9%
April 2023,53,+1,+1.9%,19,+11.8%
March 2023,52,-6,-10.3%,17,-15.0%
February 2023,58,+2,+3.6%,20,-9.1%
January 2023,56,-6,-9.7%,22,+37.5%
December 2022,62,+21,+51.2%,16,+23.1%
November 2022,41,-16,-28.1%,13,+0.0%
October 2022,57,+21,+58.3%,13,-
September 2022,36,-6,-14.3%,-,-
August 2022,42,+8,+23.5%,-,-
July 2022,34,-5,-12.8%,-,-
June 2022,39,-4,-9.3%,-,-
May 2022,43,-29,-40.3%,-,-
April 2022,72,-52,-41.9%,-,-
March 2022,124,-196,-61.3%,-,-
February 2022,320,-79,-19.8%,-,-
January 2022,399,+263,+193.4%,-,-
December 2021,136,+97,+248.7%,-,-
November 2021,39,-20,-33.9%,-,-
October 2021,59,+28,+90.3%,-,-
September 2021,31,0,+0.0%,-,-
August 2021,31,+1,+3.3%,-,-
July 2021,30,+1,+3.4%,-,-
June 2021,29,-7,-19.4%,-,-
May 2021,36,-1,-2.7%,-,-
April 2021,37,-1,-2.6%,-,-
March 2021,38,-1,-2.6%,-,-
February 2021,39,+2,+5.4%,-,-
January 2021,37,+1,+2.8%,-,-
December 2020,36,+2,+5.9%,-,-
November 2020,34,-32,-48.5%,-,-
October 2020,66,+36,+120.0%,-,-
September 2020,30,-6,-16.7%,-,-
August 2020,36,-16,-30.8%,-,-
July 2020,52,-3,-5.5%,-,-
June 2020,55,+20,+57.1%,-,-
May 2020,35,+2,+6.1%,-,-
April 2020,33,+1,+3.1%,-,-
March 2020,32,-1,-3.0%,-,-
February 2020,33,-3,-8.3%,-,-
January 2020,36,-13,-26.5%,-,-
December 2019,49,+20,+69.0%,-,-
November 2019,29,-3,-9.4%,-,-
October 2019,32,+10,+45.5%,-,-
September 2019,22,0,+0.0%,-,-
August 2019,22,-2,-8.3%,-,-
July 2019,24,-8,-25.0%,-,-
June 2019,32,0,+0.0%,-,-
May 2019,32,+7,+28.0%,-,-
April 2019,25,+2,+8.7%,-,-
March 2019,23,-2,-8.0%,-,-
February 2019,25,+1,+4.2%,-,-
January 2019,24,-2,-7.7%,-,-
December 2018,26,-1,-3.7%,-,-
November 2018,27,+4,+17.4%,-,-
October 2018,23,+1,+4.5%,-,-
September 2018,22,-3,-12.0%,-,-
August 2018,25,-21,-45.7%,-,-
July 2018,46,+9,+24.3%,-,-
June 2018,37,+13,+54.2%,-,-
May 2018,24,-3,-11.1%,-,-
April 2018,27,0,+0.0%,-,-
March 2018,27,-2,-6.9%,-,-
February 2018,29,-5,-14.7%,-,-
January 2018,34,-8,-19.0%,-,-
December 2017,42,+13,+44.8%,-,-
November 2017,29,-9,-23.7%,-,-
October 2017,38,+8,+26.7%,-,-
September 2017,30,-2,-6.3%,-,-
August 2017,32,+2,+6.7%,-,-
July 2017,30,-2,-6.3%,-,-
June 2017,32,+9,+39.1%,-,-
May 2017,23,+1,+4.5%,-,-
April 2017,22,-2,-8.3%,-,-
March 2017,24,-5,-17.2%,-,-
February 2017,29,+1,+3.6%,-,-
January 2017,28,-11,-28.2%,-,-
December 2016,39,-1,-2.5%,-,-
November 2016,40,-9,-18.4%,-,-
October 2016,49,+14,+40.0%,-,-
September 2016,35,+6,+20.7%,-,-
August 2016,29,-36,-55.4%,-,-
July 2016,65,+21,+47.7%,-,-
June 2016,44,+2,+4.8%,-,-
May 2016,42,+2,+5.0%,-,-
April 2016,40,-7,-14.9%,-,-
March 2016,47,-12,-20.3%,-,-
February 2016,59,-8,-11.9%,-,-
January 2016,67,-8,-10.7%,-,-
December 2015,75,-247,-76.7%,-,-
November 2015,322,-386,-54.5%,-,-
October 2015,708,+581,+457.5%,-,-
September 2015,127,-299,-70.2%,-,-
August 2015,426,"-1,001",-70.1%,-,-
July 2015,"1,427",-210,-12.8%,-,-
June 2015,"1,637",-,-,-,-
